,地板,椅子,桌台,地毯,桌子,墙壁,沙发,靠枕,橱柜,茶几,门窗,书柜,床,电视墙,床被,天花板,窗帘
1,ffffeb,e0d5bf,,dab4ab,cfc0a9,eaeaea,,ffffeb,594626,,131313,e1d3b9,e1d3b9,,ffffeb,ffffeb,
2,ffffeb,9b7b54,,c1c1bf,9b7b54,ffffeb,,ffffeb,9b7b54,,131313,9b7b54,9b7b54,,ffffeb,ffffeb,
3,c9b99f,181715,,181715,181715,dfdbb6,,ffffeb,9b7b55,,131313,dbd0b2,cebea5,,ffffeb,dfdbb6,
4,b59001,a5812d,,a7a7a7,d4ad62,e0e2b3,,b1b1b1,be9e61,,a99678,dfd1b6,c3c3c3,,ffffeb,c4b69b,
5,d6d2af,d6d2af,,bbada0,d6d2af,d6d2af,,b1b1b1,c0a063,,131313,e0d2b7,46351b,,fbcdcf,bfbd97,
6,e5e2bf,652324,,bababa,652324,ecebbf,,ffffeb,652324,,25261e,d1b286,ffffeb,,cba5bc,bfbd97,
7,e0e0e0,b9a99a,,b9bbba,514026,e0e0e0,,e0e0e0,34342c,,262520,d2b186,e0e0e0,,dedca9,e0e0e0,
8,e1e1e1,ac9c85,,9fc2c8,dcdcdc,dcdcdc,,b4d9e1,e8eae9,,e8eae9,d3b184,4b371f,,ceabbf,e1e1e1,
9,e6e4be,ac9c86,,dcb2b6,dddfde,b4e3fd,,c5da8b,cfe290,,ffffeb,d2b083,c8c6c9,,aec9e4,8fbed8,
10,ababab,ccccaa,,a1bfd9,742818,e1e0b0,,f8c200,631e0e,,ffffeb,e6e6e6,49351c,,d0a3c4,bcb893,
11,dfcfb6,24241c,,a6c1dc,da9681,eedec4,,edc5c6,e8d9bc,,9d7722,e1d3b8,4a3b1e,,cb966e,edd9be,
12,d6993c,bea489,,c19a3f,d2923b,dfdcb9,,f7cb82,d4943c,,aa8e67,dfd1b6,48361e,,dedca9,c8b6a2,
13,d4ab53,ffffeb,,c6c29d,d2923b,b6e6fd,,f6ca83,e4bd60,,a5885e,dbb351,4e3a22,,ffffeb,8ac0dc,
14,b9a185,ffffeb,,dfdab4,43331a,eee0c6,,dfdab4,c39b44,,141414,c18523,ad9263,,dfdab4,eedec4,
15,bca488,cda34d,,81392a,cda34d,f1e3c9,,9b4a39,bf9f78,,bf9f78,d1b48c,ad9264,,e28d79,f0e2c8,
16,dfe1e0,bc9b7c,,81392a,62390d,e9e9e9,,a45244,383a39,,a4734a,aa744e,929493,,929493,e5e5e5,
17,dfdfdf,1f1e23,,77aaa5,e7a547,e7e7e7,,717171,d7933e,,111312,b8845d,838788,,ffffeb,ffffeb,
18,e1e3e2,d2d2d2,,b0c576,eaeceb,eaeceb,,d9c9af,a7c5df,,eaeceb,ead2df,8c8d8f,,eaeceb,eaeceb,
