,Ç½±Ú,´°Á±,µØ°å,×ÀÌ¨,×À×Ó,ÒÎ×Ó,²è¼¸,É³·¢,¿¿Õí,µØÌº,ÃÅ´°,³÷¹ñ,´²,Êé¹ñ,µÆÕÖ,´²±»,¿Õµ÷
1,58.0,59.0,,73.0,,59.0,56.0,37.0,21.0,26.0,,,,,,,
2,39.0,57.0,73.0,,60.0,59.0,,,,,,,,,,,
3,2.0,15.0,56.0,,60.0,59.0,62.0,59.0,22.0,4.0,73.0,73.0,,73.0,,,
4,30.0,,21.0,,60.0,60.0,,37.0,47.0,,60.0,60.0,,60.0,21.0,,
5,15.0,15.0,15.0,73.0,,,,4.0,15.0,,47.0,59.0,,,,,
6,59.0,59.0,,,21.0,,62.0,73.0,61.0,,,,,,21.0,,
7,,21.0,21.0,21.0,,21.0,,,,,,,,,21.0,,
8,59.0,,59.0,,60.0,62.0,,,,,,56.0,,,21.0,,
9,59.0,,,62.0,74.0,21.0,21.0,,,,58.0,74.0,,,56.0,,
10,59.0,,61.0,61.0,21.0,21.0,,,,,21.0,74.0,,59.0,21.0,,
11,74.0,21.0,62.0,73.0,73.0,15.0,,,12.0,,,,14.0,,,13.0,
12,59.0,59.0,72.0,,,,74.0,6.0,,74.0,,,,,,,
13,21.0,,59.0,,,,74.0,30.0,,12.0,15.0,,,,,,
14,15.0,21.0,,,,,14.0,82.0,74.0,21.0,,,,,,,
15,21.0,59.0,21.0,,,,21.0,86.0,45.0,13.0,,,,,,,
16,59.0,15.0,21.0,,,,48.0,29.0,30.0,14.0,,,,,,,
17,59.0,,,,60.0,73.0,61.0,15.0,,27.0,,,,,21.0,,
18,59.0,,21.0,,74.0,73.0,,,,,74.0,,,,,,
19,21.0,,21.0,,4.0,73.0,,,,,73.0,,,,,,
20,15.0,,62.0,60.0,73.0,73.0,,,,,,60.0,,,,,
21,59.0,59.0,,11.0,,,,,,,,61.0,,,,59.0,
22,59.0,,,,,,,,,,,73.0,72.0,,,21.0,
23,21.0,,73.0,,47.0,47.0,,,64.0,,,,,,,59.0,
24,15.0,59.0,56.0,,,74.0,,59.0,,,,,,,,,
25,15.0,59.0,61.0,60.0,73.0,73.0,,83.0,,,,21.0,,21.0,59.0,,
26,15.0,,62.0,74.0,47.0,74.0,74.0,74.0,,,,59.0,,,,,
27,29.0,,21.0,,39.0,39.0,,,,,,73.0,,,,,
28,59.0,,21.0,,62.0,11.0,,,,,,47.0,,,,,
29,59.0,,73.0,,62.0,62.0,,47.0,,,73.0,62.0,,,,,
30,29.0,,73.0,59.0,59.0,21.0,21.0,48.0,,,,,,,,,
31,15.0,,21.0,60.0,60.0,58.0,21.0,59.0,59.0,,61.0,,,,,,
32,59.0,,,62.0,21.0,11.0,,,,,73.0,,,,21.0,,
33,74.0,,73.0,,6.0,21.0,,,47.0,,,,,,,74.0,
34,15.0,,73.0,,56.0,21.0,,,,,,,74.0,,,21.0,
35,59.0,,21.0,,73.0,47.0,,,,,47.0,,,,,,
36,15.0,59.0,47.0,62.0,73.0,73.0,,,6.0,,,74.0,47.0,,,74.0,
37,15.0,59.0,74.0,61.0,74.0,74.0,,,59.0,,,,59.0,,,59.0,
38,59.0,59.0,73.0,73.0,61.0,73.0,,13.0,72.0,,73.0,,,73.0,,,
39,21.0,59.0,56.0,73.0,,,,,47.0,,,,47.0,,,74.0,
40,59.0,,62.0,73.0,73.0,73.0,,27.0,6.0,,,,,,,,
41,15.0,59.0,73.0,47.0,56.0,59.0,,61.0,14.0,,,,,,4.0,,
42,59.0,59.0,21.0,61.0,,,,,,,,,,,,,
43,59.0,14.0,,62.0,,,,,74.0,,,,,,,21.0,
44,14.0,,59.0,,73.0,47.0,,,,,62.0,,,,,,
45,15.0,,,21.0,74.0,,,,,,,,59.0,,,29.0,
46,15.0,59.0,21.0,74.0,58.0,21.0,,15.0,59.0,6.0,,,,,,,
47,59.0,59.0,47.0,60.0,21.0,21.0,,52.0,26.0,11.0,,,,,,,
48,59.0,74.0,56.0,,,,,,,,62.0,21.0,,,,,
49,21.0,52.0,56.0,,47.0,47.0,,15.0,59.0,2.0,,60.0,,,,,
50,62.0,,,59.0,,,,29.0,74.0,,,47.0,,,,,
